Country,Qualification,Work Type,Experience (Years),Job Title,Salary ($),Job Portal,Gender Preference,Job Posting Date,Job Posting Time,Company Size,Latitude,Longitude
Germany,B.Tech,Full time,11,Art Teacher,122770.18,Indeed,Female,2022-11-09,12:09,97429,54.42283503033465,14.421965216311438
India,B.Tech,Full time,8,Data Scientist,95136.33,Indeed,Female,2020-06-04,15:17,246101,14.157656408347629,75.08965144966774
India,B.Tech,Full time,17,AeroSpace Engineer,38741.95,Indeed,Female,2023-03-27,16:06,484373,36.69327933637296,71.63237778950212
India,B.Tech,Full time,17,AeroSpace Engineer,88530.54,Indeed,Female,2021-06-13,15:54,267452,21.317680302617433,80.54110306275885
Germany,B.Tech,Full time,19,Data Scientist,115916.01,Indeed,Female,2023-05-23,15:17,199415,48.71935485816232,10.255963577619447
India,B.Tech,Full time,8,Data Scientist,109115.15,Indeed,Female,2022-11-22,13:41,109322,32.865978806710906,85.1860447506588
India,B.Tech,Full time,11,Data Scientist,127431.7,Indeed,Female,2022-05-11,17:06,143173,33.293949844495444,90.10077601240398
India,B.Tech,Full time,11,AeroSpace Engineer,98026.95,Indeed,Female,2020-11-02,12:03,326638,28.31857121682407,77.41492140270421
Germany,B.Tech,Full time,12,Data Scientist,114410.3,Indeed,Female,2022-03-19,12:02,190190,51.44328250829641,14.329934472121518
India,B.Tech,Full time,13,Data Scientist,146213.39,Indeed,Female,2020-07-14,16:21,434553,25.150549383059314,91.43968811630688
India,B.Tech,Full time,16,Data Scientist,125726.51,Indeed,Female,2022-05-21,14:02,387564,14.195347197993318,69.97118626809548
India,B.Tech,Full time,14,AeroSpace Engineer,52848.75,Indeed,Female,2023-06-30,17:00,99762,24.103536404271587,91.83375341886145
India,B.Tech,Full time,10,Data Scientist,32989.07,Indeed,Female,2022-09-08,13:40,338853,29.894530764903855,72.68678782203332
Germany,B.Tech,Full time,11,AeroSpace Engineer,149808.94,Indeed,Female,2020-12-19,17:34,203574,52.34493049409372,10.790797809088568
Germany,B.Tech,Full time,14,Data Scientist,22659.27,Indeed,Female,2022-02-10,17:41,267759,49.576931922907725,14.927257072264801
Germany,B.Tech,Full time,7,AeroSpace Engineer,61860.64,Indeed,Female,2020-08-17,16:12,213431,48.684260775708665,13.229978910639815
Germany,B.Tech,Full time,13,Art Teacher,34907.06,Indeed,Female,2021-07-20,12:17,377769,48.675906265373115,5.941247697997006
India,B.Tech,Full time,10,AeroSpace Engineer,119928.11,Indeed,Female,2022-06-15,17:09,469276,32.44884658790401,86.89364009198643
Germany,B.Tech,Full time,10,AeroSpace Engineer,109963.2,Indeed,Female,2022-06-04,14:48,267538,50.122848359079676,13.404802538743155
Germany,B.Tech,Full time,11,Art Teacher,64766.41,Indeed,Female,2022-08-01,12:03,418904,52.93139851261137,9.104284525109396
India,B.Tech,Full time,5,Art Teacher,124428.67,Indeed,Female,2022-09-11,12:56,479753,13.658603026419339,70.69106352865442
India,B.Tech,Full time,15,Data Scientist,144180.0,Indeed,Female,2021-08-15,13:25,420454,14.9479216448957,76.86581774574407
India,B.Tech,Full time,17,Data Scientist,29664.77,Indeed,Female,2020-03-16,15:19,441566,10.930055983692016,71.87088099640113
Germany,B.Tech,Full time,4,Data Scientist,118528.78,Indeed,Female,2020-06-07,15:49,134013,54.34616859563319,7.525039840513133
Germany,B.Tech,Full time,10,AeroSpace Engineer,99677.67,Indeed,Female,2023-02-05,16:23,383243,50.57357395169827,14.616940644715086
India,B.Tech,Full time,8,Data Scientist,66109.89,Indeed,Female,2021-04-07,13:48,297279,12.641759306943552,84.05783200559475
India,B.Tech,Full time,14,Art Teacher,113075.16,Indeed,Female,2022-09-23,12:40,457167,12.82794132559887,80.58468984592977
India,B.Tech,Full time,16,Art Teacher,81152.65,Indeed,Female,2023-06-17,14:01,222343,15.353558153109791,93.99899462142756
India,B.Tech,Full time,7,Art Teacher,29711.2,Indeed,Female,2021-07-22,13:03,133697,20.504287222812458,91.30948893448485
India,B.Tech,Full time,11,Art Teacher,31699.04,Indeed,Female,2021-06-30,13:19,393298,30.239331786563497,96.46753001431043
India,B.Tech,Full time,3,Data Scientist,37375.17,Indeed,Female,2022-03-01,15:31,245110,16.485390603534526,87.04931905744324
India,B.Tech,Full time,5,Data Scientist,39584.45,Indeed,Female,2022-04-10,12:55,119987,34.179275449058906,87.23835131428173
India,B.Tech,Full time,14,Data Scientist,129082.43,Indeed,Female,2021-09-01,15:03,455376,9.751784792266054,69.28359310309988
Germany,B.Tech,Full time,16,Data Scientist,28290.83,Indeed,Female,2022-04-25,15:06,484924,53.94280664327409,5.949826737737922
Germany,B.Tech,Full time,13,Data Scientist,130621.24,Indeed,Female,2023-07-14,14:28,365832,51.91890128588535,7.60597851919681
Germany,B.Tech,Full time,11,AeroSpace Engineer,33114.8,Indeed,Female,2021-05-20,14:38,365507,50.82497622278264,8.098793644893979
Germany,B.Tech,Full time,7,Art Teacher,79071.95,Indeed,Female,2022-07-30,15:42,338550,54.72254851745089,7.2123489083886225
India,B.Tech,Full time,20,AeroSpace Engineer,128879.33,Indeed,Female,2020-05-17,15:21,312382,24.771353184798365,81.0242908257554
Germany,B.Tech,Full time,13,Data Scientist,101056.56,Indeed,Female,2022-03-04,13:02,445045,47.39619131701066,8.655918405962009
Germany,B.Tech,Full time,5,Data Scientist,50710.16,Indeed,Female,2022-03-09,13:35,448913,49.60330292263977,9.243441399715449
India,B.Tech,Full time,17,AeroSpace Engineer,113374.56,Indeed,Female,2023-06-30,12:59,469084,34.7368693912828,82.01335741751903
Germany,B.Tech,Full time,15,Art Teacher,145930.39,Indeed,Female,2023-04-17,17:54,351940,50.58288718712607,10.21870177664351
Germany,B.Tech,Full time,3,Data Scientist,23405.09,Indeed,Female,2022-06-17,14:04,492467,51.23136047393575,10.890858511342202
Germany,B.Tech,Full time,9,Data Scientist,94268.74,Indeed,Female,2020-12-12,17:00,251835,54.73615324318998,9.737783777667868
Germany,B.Tech,Full time,6,AeroSpace Engineer,97226.52,Indeed,Female,2022-03-01,13:41,354841,54.44324985817795,13.180329286303213
Germany,B.Tech,Full time,3,Data Scientist,36063.31,Indeed,Female,2021-12-23,16:17,450144,51.09779725941158,6.672951694274853
Germany,B.Tech,Full time,17,Data Scientist,128094.95,Indeed,Female,2021-10-03,15:20,487334,51.04030186169953,8.467313512470922
India,B.Tech,Full time,17,AeroSpace Engineer,33690.86,Indeed,Female,2023-03-26,15:28,423016,19.94841135296681,87.66877783738863
Germany,B.Tech,Full time,17,AeroSpace Engineer,127520.92,Indeed,Female,2020-05-11,14:07,486538,50.68975051167281,7.768594942180416
Germany,B.Tech,Full time,14,AeroSpace Engineer,33007.46,Indeed,Female,2022-08-20,17:57,388066,51.16737361012373,7.420314714121402
Germany,B.Tech,Full time,5,Art Teacher,65746.23,Indeed,Female,2022-04-12,15:26,232808,48.361018045469365,14.849816731914714
India,B.Tech,Full time,6,AeroSpace Engineer,62525.68,Indeed,Female,2020-02-14,13:29,331857,22.461356754990618,74.26545150373312
India,B.Tech,Full time,13,AeroSpace Engineer,118607.22,Indeed,Female,2021-06-08,17:05,215482,35.97441852864417,74.56039361081325
Germany,B.Tech,Full time,8,Data Scientist,32217.9,Indeed,Female,2022-08-29,14:31,280816,52.48946544760418,14.513306358479554
Germany,B.Tech,Full time,18,Data Scientist,109812.93,Indeed,Female,2020-09-07,12:46,454253,47.311039574682255,13.358664196569237
Germany,B.Tech,Full time,15,Data Scientist,55065.81,Indeed,Female,2021-08-04,12:02,280257,53.779752546237354,8.466469599749356
Germany,B.Tech,Full time,3,Art Teacher,51402.69,Indeed,Female,2020-09-23,15:03,171359,51.2093164791327,6.399649260905896
Germany,B.Tech,Full time,14,Data Scientist,79821.72,Indeed,Female,2020-11-23,16:59,190046,49.25054231994496,10.031993048028284
Germany,B.Tech,Full time,6,AeroSpace Engineer,125845.49,Indeed,Female,2022-03-02,15:41,231308,47.37261180278936,8.741430388178136
India,B.Tech,Full time,14,Art Teacher,15722.33,Indeed,Female,2022-06-03,13:16,230576,31.32512027542242,76.3963530479918
India,B.Tech,Full time,16,Art Teacher,149468.55,Indeed,Female,2021-09-12,14:47,277022,36.35664267924082,88.88567140864038
Germany,B.Tech,Full time,11,Art Teacher,29855.54,Indeed,Female,2020-07-19,17:05,84933,51.83896925399951,14.383075771279135
India,B.Tech,Full time,15,Data Scientist,18933.01,Indeed,Female,2020-06-19,14:07,149223,25.272626355436138,75.65910815811482
Germany,B.Tech,Full time,8,AeroSpace Engineer,100872.97,Indeed,Female,2022-02-05,13:18,305487,53.03088939133206,10.237443734688709
Germany,B.Tech,Full time,15,Data Scientist,109011.39,Indeed,Female,2021-03-03,13:12,296295,51.73296232404495,12.37243886150566
India,B.Tech,Full time,6,Data Scientist,58373.82,Indeed,Female,2021-09-26,13:22,276187,22.139424919747345,87.55571171482087
India,B.Tech,Full time,4,Data Scientist,25123.69,Indeed,Female,2020-09-25,12:59,489881,9.076384286812779,92.0287826938237
India,B.Tech,Full time,9,Data Scientist,13831.36,Indeed,Female,2022-08-24,12:37,438153,19.60835932133248,70.54891100491093
India,B.Tech,Full time,5,Art Teacher,34236.39,Indeed,Female,2021-06-06,15:38,87836,22.733019517436013,92.40556945842081
Germany,B.Tech,Full time,19,AeroSpace Engineer,76965.16,Indeed,Female,2022-05-27,13:34,273079,47.45874514779939,10.316522411837205
Germany,B.Tech,Full time,16,Art Teacher,92134.9,Indeed,Female,2020-06-01,13:09,106657,52.634940261991154,10.168402366329893
Germany,B.Tech,Full time,14,Art Teacher,143674.0,Indeed,Female,2020-12-11,17:39,305378,51.86697322977335,14.808637922455151
Germany,B.Tech,Full time,14,AeroSpace Engineer,43044.93,Indeed,Female,2022-10-09,13:10,352993,48.98937219032012,9.387432812812522
Germany,B.Tech,Full time,20,Art Teacher,65324.47,Indeed,Female,2020-11-26,16:50,308632,47.24376531570077,6.983523818789494
Germany,B.Tech,Full time,11,Data Scientist,12384.15,Indeed,Female,2022-09-02,15:16,207121,49.01731183070279,11.02650727075251
Germany,B.Tech,Full time,13,AeroSpace Engineer,116218.77,Indeed,Female,2020-05-06,17:52,335201,54.266132286342405,14.483843281261592
India,B.Tech,Full time,14,Data Scientist,134351.36,Indeed,Female,2022-10-19,15:01,467015,31.16698945021031,73.50114699373454
India,B.Tech,Full time,11,Art Teacher,121065.06,Indeed,Female,2021-01-12,13:01,148567,35.26266989361551,81.13371528276309
India,B.Tech,Full time,7,Art Teacher,40282.87,Indeed,Female,2020-12-28,13:01,80313,29.39496337268612,70.60708562408122
Germany,B.Tech,Full time,11,AeroSpace Engineer,102752.11,Indeed,Female,2021-10-05,15:26,421806,51.13134181888413,11.436491318760112
Germany,B.Tech,Full time,5,AeroSpace Engineer,113496.52,Indeed,Female,2021-12-02,12:41,275740,51.95251227691976,6.249354305084296
Germany,B.Tech,Full time,5,Art Teacher,87792.61,Indeed,Female,2020-02-13,12:42,465269,52.55077686266952,5.887200659772565
Germany,B.Tech,Full time,17,Art Teacher,75932.44,Indeed,Female,2021-05-30,17:15,486264,48.230305104798816,12.629831897464516
Germany,B.Tech,Full time,5,Art Teacher,112131.6,Indeed,Female,2022-02-18,16:20,81247,53.006676938582004,7.438254295817508
India,B.Tech,Full time,8,Data Scientist,42114.07,Indeed,Female,2020-03-03,16:44,415358,32.2687593498992,74.56337462993568
India,B.Tech,Full time,3,Data Scientist,106373.29,Indeed,Female,2020-09-04,14:09,495612,28.298704944147232,84.80423792686707
India,B.Tech,Full time,3,Data Scientist,67543.27,Indeed,Female,2020-04-02,15:46,338488,30.416059316000435,86.02124777000303
India,B.Tech,Full time,5,Data Scientist,69769.07,Indeed,Female,2020-07-31,13:42,132844,24.573947693638758,77.32638071858133
India,B.Tech,Full time,11,Data Scientist,27647.85,Indeed,Female,2020-12-28,15:36,367254,22.222616362161787,82.64610477485462
India,B.Tech,Full time,15,Data Scientist,121157.65,Indeed,Female,2022-09-27,17:25,247047,21.170557878614474,69.94811478122445
India,B.Tech,Full time,7,Data Scientist,145207.06,Indeed,Female,2022-04-30,13:31,269458,19.667120951642268,93.46770423553191
Germany,B.Tech,Full time,18,Data Scientist,68859.72,Indeed,Female,2021-10-06,14:22,412883,51.90902922194705,14.571719894269332
Germany,B.Tech,Full time,9,AeroSpace Engineer,122388.34,Indeed,Female,2021-06-04,16:36,120440,52.660499108572814,7.150869860040241
Germany,B.Tech,Full time,9,Art Teacher,118897.61,Indeed,Female,2021-03-10,12:02,126798,47.58642411675472,13.42473329470513
India,B.Tech,Full time,17,Art Teacher,126383.91,Indeed,Female,2023-04-21,14:57,389200,10.563505893731069,90.70892901438185
Germany,B.Tech,Full time,17,Art Teacher,54659.72,Indeed,Female,2021-09-11,16:05,346669,47.30335583125064,11.336893772249686
India,B.Tech,Full time,7,Data Scientist,36222.97,Indeed,Female,2020-07-11,13:30,170815,37.197228464126184,84.47390590813066
Germany,B.Tech,Full time,5,AeroSpace Engineer,34401.11,Indeed,Female,2022-04-08,12:00,455770,48.93063665671939,10.726092291895775
India,B.Tech,Full time,18,Art Teacher,134007.33,Indeed,Female,2022-12-04,13:30,172227,34.07048836106577,79.66118261964425
Germany,B.Tech,Full time,9,Data Scientist,28646.42,Indeed,Female,2020-07-07,13:23,355276,50.5175273446787,12.123534927666238
Germany,B.Tech,Full time,18,Data Scientist,68229.77,Indeed,Female,2022-03-31,15:19,480710,53.62703446620122,12.36354460964144
Germany,B.Tech,Full time,8,Art Teacher,108791.21,Indeed,Female,2020-11-10,13:03,472695,53.30254137166901,9.092980273648491
Germany,B.Tech,Full time,19,AeroSpace Engineer,52212.05,Indeed,Female,2020-03-07,12:56,234281,53.561693860776685,14.404991836131224
India,B.Tech,Full time,3,Data Scientist,51690.06,Indeed,Female,2021-09-18,17:06,413431,34.530640537989434,87.5076023178585
India,B.Tech,Full time,18,AeroSpace Engineer,33734.3,Indeed,Female,2021-12-06,14:23,181208,10.052433153557484,71.03972223931814
Germany,B.Tech,Full time,14,Art Teacher,46384.84,Indeed,Female,2022-11-11,16:29,206130,47.48554027766663,11.772704702546841
India,B.Tech,Full time,18,Data Scientist,18358.35,Indeed,Female,2020-05-07,12:04,401280,26.076351631350924,93.71143063520832
Germany,B.Tech,Full time,4,Data Scientist,128535.5,Indeed,Female,2021-07-12,15:21,293409,54.03233807532425,13.088675182727581
Germany,B.Tech,Full time,12,AeroSpace Engineer,66068.65,Indeed,Female,2021-10-21,17:06,111287,53.981965756518555,13.789392068611917
Germany,B.Tech,Full time,4,Data Scientist,77888.7,Indeed,Female,2022-06-25,14:37,232699,50.85717768483277,12.519690103559551
India,B.Tech,Full time,14,AeroSpace Engineer,84818.56,Indeed,Female,2020-09-18,16:24,249008,25.646140181054427,74.9335076573032
India,B.Tech,Full time,16,Art Teacher,136443.39,Indeed,Female,2020-10-19,13:02,394920,19.653262086771896,95.07689251821958
Germany,B.Tech,Full time,20,AeroSpace Engineer,23363.59,Indeed,Female,2020-10-11,12:11,486744,51.756056112069835,6.464027769911593
India,B.Tech,Full time,17,AeroSpace Engineer,90467.48,Indeed,Female,2021-03-18,12:50,136279,18.927518996028347,86.61965556921906
India,B.Tech,Full time,5,Art Teacher,33761.67,Indeed,Female,2020-11-20,16:59,343547,37.47305145320166,94.83924219742818
Germany,B.Tech,Full time,20,Data Scientist,50540.96,Indeed,Female,2022-01-15,15:40,391701,54.60676888433973,10.570511064365196
India,B.Tech,Full time,8,Data Scientist,70590.39,Indeed,Female,2020-11-20,13:04,295323,31.190977167203705,77.3569752499205
Germany,B.Tech,Full time,11,Art Teacher,129146.73,Indeed,Female,2023-02-08,15:05,205383,54.3629542101464,14.32243705347426
Germany,B.Tech,Full time,14,AeroSpace Engineer,103931.22,Indeed,Female,2022-05-02,13:56,385730,49.233914176543195,13.41980474163986
Germany,B.Tech,Full time,14,Data Scientist,28767.65,Indeed,Female,2020-07-19,16:34,483594,50.7356867418907,7.8773384504222586
India,B.Tech,Full time,10,Art Teacher,114915.39,Indeed,Female,2021-01-12,14:48,117211,29.633230933251724,88.80789147358892
India,B.Tech,Full time,19,Data Scientist,79218.1,Indeed,Female,2021-05-07,13:29,181861,37.13485082840334,87.3171260384276
Germany,B.Tech,Full time,10,Art Teacher,95566.91,Indeed,Female,2023-05-07,12:29,471200,51.622523248375614,10.705445398347566
India,B.Tech,Full time,8,AeroSpace Engineer,51915.78,Indeed,Female,2023-06-08,14:12,162559,11.750325819177244,75.06481217465021
Germany,B.Tech,Full time,5,Art Teacher,141982.67,Indeed,Female,2021-12-12,12:00,385387,54.630034483273896,9.386275482372605
Germany,B.Tech,Full time,15,AeroSpace Engineer,122561.44,Indeed,Female,2022-06-22,12:23,344440,49.86600583410607,7.301746262690692
India,B.Tech,Full time,4,Art Teacher,105482.02,Indeed,Female,2020-09-05,14:11,325369,22.327906812058192,90.99494818684366
India,B.Tech,Full time,3,Data Scientist,10970.31,Indeed,Female,2020-05-27,15:19,140934,24.549375357470936,88.57127268003893
Germany,B.Tech,Full time,6,Data Scientist,99061.37,Indeed,Female,2023-07-25,17:10,450532,50.17123292882643,9.946360271968862
Germany,B.Tech,Full time,19,AeroSpace Engineer,89314.38,Indeed,Female,2022-01-27,16:13,281127,53.985342807766834,10.25177627797018
Germany,B.Tech,Full time,3,AeroSpace Engineer,49946.28,Indeed,Female,2022-07-09,17:20,231790,52.63208996403979,8.542805715909722
Germany,B.Tech,Full time,4,AeroSpace Engineer,122253.63,Indeed,Female,2021-02-14,12:56,381498,54.69803349110854,14.28835672738661
India,B.Tech,Full time,15,Art Teacher,48742.66,Indeed,Female,2020-03-30,13:54,373177,18.46647560899807,85.33226062519634
India,B.Tech,Full time,19,AeroSpace Engineer,14926.21,Indeed,Female,2020-06-25,13:14,210676,23.502949311874605,94.12777321442978
Germany,B.Tech,Full time,19,AeroSpace Engineer,137323.54,Indeed,Female,2022-05-02,15:46,249885,53.5967736401786,6.095578142071285
India,B.Tech,Full time,10,Art Teacher,145025.36,Indeed,Female,2020-02-21,15:50,152305,22.293784018108514,82.05473728187596
India,B.Tech,Full time,17,Art Teacher,91548.92,Indeed,Female,2022-12-09,13:18,393352,13.903153299522211,69.72750581025231
Germany,B.Tech,Full time,20,AeroSpace Engineer,95728.34,Indeed,Female,2022-10-11,14:01,462859,52.260351973845864,11.648766602022732
India,B.Tech,Full time,20,Data Scientist,59578.38,Indeed,Female,2022-09-20,15:43,461387,23.899332295329785,78.06792435382596
Germany,B.Tech,Full time,17,AeroSpace Engineer,72506.96,Indeed,Female,2021-02-10,17:11,439867,51.52987044523552,14.115658041108361
Germany,B.Tech,Full time,14,Data Scientist,117485.09,Indeed,Female,2020-12-03,15:34,276188,53.15129218892804,11.938009863593273
India,B.Tech,Full time,20,Art Teacher,119731.54,Indeed,Female,2022-04-09,12:12,480193,21.311893206699388,95.81501775162074
India,B.Tech,Full time,9,Art Teacher,22323.15,Indeed,Female,2021-03-25,13:59,352772,33.97137979455546,73.0002262585639
Germany,B.Tech,Full time,6,AeroSpace Engineer,132444.56,Indeed,Female,2021-07-31,16:03,499429,49.07446785850507,12.590800612551885
India,B.Tech,Full time,14,Art Teacher,74468.84,Indeed,Female,2021-06-13,15:14,235141,34.4065227872915,85.77273650179279
India,B.Tech,Full time,6,AeroSpace Engineer,13408.74,Indeed,Female,2023-05-07,13:20,327658,18.980066710298274,75.16198307832617
Germany,B.Tech,Full time,4,Data Scientist,80011.75,Indeed,Female,2021-08-22,13:08,264253,49.37098516101203,12.998120087562178
India,B.Tech,Full time,10,Data Scientist,144852.07,Indeed,Female,2020-05-03,12:59,230915,16.050501884351675,85.05752045179467
India,B.Tech,Full time,13,Art Teacher,23143.44,Indeed,Female,2021-12-07,12:34,185234,29.205498440373034,82.22174550164904
India,B.Tech,Full time,10,AeroSpace Engineer,105015.45,Indeed,Female,2022-06-22,15:46,106282,15.578944577295008,72.07651291216112
Germany,B.Tech,Full time,11,Art Teacher,100115.39,Indeed,Female,2021-06-14,15:37,472315,48.184487487032534,11.90854276901991
Germany,B.Tech,Full time,17,Art Teacher,101957.55,Indeed,Female,2022-10-07,17:01,205653,49.18499796036976,11.796077334347927
Germany,B.Tech,Full time,12,AeroSpace Engineer,130194.36,Indeed,Female,2020-06-08,17:23,327686,50.817544416374865,7.487186680515762
India,B.Tech,Full time,11,AeroSpace Engineer,130223.9,Indeed,Female,2021-02-09,17:17,414357,15.873555711791408,78.57335807723871
Germany,B.Tech,Full time,15,Art Teacher,99090.56,Indeed,Female,2021-10-27,14:21,344305,49.32644943977907,6.787061130390601
India,B.Tech,Full time,7,Data Scientist,137399.21,Indeed,Female,2022-02-17,17:02,428805,12.50475089448545,85.0470729755183
Germany,B.Tech,Full time,7,AeroSpace Engineer,142437.1,Indeed,Female,2021-01-25,16:55,89284,47.7550640818402,8.119724286485225
India,B.Tech,Full time,9,AeroSpace Engineer,124757.1,Indeed,Female,2021-11-26,17:00,401582,8.55133997778775,92.30421192120272
Germany,B.Tech,Full time,8,Data Scientist,121049.11,Indeed,Female,2020-03-01,16:30,354188,54.67557672104018,9.06781203314111
India,B.Tech,Full time,6,AeroSpace Engineer,128332.79,Indeed,Female,2021-10-17,17:46,175650,19.816210426315017,83.19160764372512
India,B.Tech,Full time,15,Data Scientist,137528.17,Indeed,Female,2023-07-25,15:42,160200,35.48856959402058,70.6390721939132
India,B.Tech,Full time,16,Art Teacher,97747.01,Indeed,Female,2022-10-05,14:24,419105,21.702611838027476,69.24586570285683
Germany,B.Tech,Full time,7,Art Teacher,26098.88,Indeed,Female,2021-06-06,14:40,495927,54.273909755103084,11.929641368911192
Germany,B.Tech,Full time,17,Art Teacher,55533.25,Indeed,Female,2021-01-19,15:23,289329,52.22708351097172,5.9891093282835905
Germany,B.Tech,Full time,14,Data Scientist,122255.54,Indeed,Female,2023-03-11,14:06,176697,50.434404716937685,14.885262636522583
Germany,B.Tech,Full time,12,Art Teacher,75354.61,Indeed,Female,2020-07-16,16:21,241823,51.10972585335526,6.787356756458
Germany,B.Tech,Full time,10,AeroSpace Engineer,80051.93,Indeed,Female,2023-05-20,14:10,97564,53.83650373041428,6.645375444561359
India,B.Tech,Full time,9,Data Scientist,60661.96,Indeed,Female,2022-02-06,17:14,387273,25.53577299420791,74.21838974618342
Germany,B.Tech,Full time,18,AeroSpace Engineer,140798.18,Indeed,Female,2022-12-15,14:22,477406,51.702961592692034,15.026220628654386
Germany,B.Tech,Full time,4,AeroSpace Engineer,87910.44,Indeed,Female,2020-08-27,15:46,279972,47.5396874731961,13.65556636462284
Germany,B.Tech,Full time,14,AeroSpace Engineer,12463.87,Indeed,Female,2022-11-20,15:52,281086,51.886158214309475,11.428786167988232
Germany,B.Tech,Full time,12,Art Teacher,78583.69,Indeed,Female,2021-04-09,17:32,157480,50.61686874933697,9.06068611243737
Germany,B.Tech,Full time,12,AeroSpace Engineer,71298.71,Indeed,Female,2022-04-21,17:10,176129,54.317773004001765,6.15966763444708
India,B.Tech,Full time,15,Art Teacher,75216.65,Indeed,Female,2023-02-15,15:02,117132,29.40899492120826,80.24521473689795
Germany,B.Tech,Full time,9,Art Teacher,63964.16,Indeed,Female,2022-01-01,14:56,418739,53.56242279412432,10.797791555789846
Germany,B.Tech,Full time,5,Data Scientist,118261.19,Indeed,Female,2020-04-11,14:03,239712,52.37504856253676,10.58057216981557
Germany,B.Tech,Full time,19,AeroSpace Engineer,65844.65,Indeed,Female,2022-06-11,15:26,110627,54.590218098656706,8.718500889185309
India,B.Tech,Full time,15,Art Teacher,28414.3,Indeed,Female,2021-04-27,15:16,194515,12.809384191017523,75.81192583887487
Germany,B.Tech,Full time,3,Data Scientist,18327.87,Indeed,Female,2020-05-08,14:42,272939,53.144300528247015,11.01460623927715
Germany,B.Tech,Full time,11,AeroSpace Engineer,90901.75,Indeed,Female,2021-10-10,13:06,434196,54.111275071900934,10.892163054835532
India,B.Tech,Full time,8,Data Scientist,74792.37,Indeed,Female,2023-01-19,17:42,464845,36.74470928000893,86.77543815540872
Germany,B.Tech,Full time,14,AeroSpace Engineer,90069.34,Indeed,Female,2022-02-08,15:15,121234,52.68049415674267,13.90458395544886
India,B.Tech,Full time,8,AeroSpace Engineer,148497.43,Indeed,Female,2023-06-28,17:39,354399,31.95520065613016,87.9119688765282
Germany,B.Tech,Full time,17,Data Scientist,95339.41,Indeed,Female,2021-11-09,13:54,377350,54.3643777676122,7.710175645049594
India,B.Tech,Full time,6,AeroSpace Engineer,101211.23,Indeed,Female,2022-05-07,15:55,127065,25.87292497180576,79.22438216452066
Germany,B.Tech,Full time,20,Data Scientist,128068.44,Indeed,Female,2020-09-29,17:49,328937,52.27145652698119,6.43358766725809
India,B.Tech,Full time,4,Art Teacher,50758.35,Indeed,Female,2021-06-28,16:22,376347,27.814138548560223,73.3772290343605
India,B.Tech,Full time,15,Art Teacher,104379.22,Indeed,Female,2023-02-23,12:01,258581,19.780196373882703,94.72623684673789
